不吃肉真的能瘦吗？	可以的，我就是不吃肉，瘦了10斤	你减掉了多少公斤？	一个月瘦了4斤，还有5斤没减	3
嗯嗯，不说我了，说说你呗，你最近在干嘛呢？	我最近在忙着找工作呢!	不是我，是你。你最近在做什么？	我在一家广告公司做文案策划!	3
不太喜欢，你还是个知识青年，你喜欢看什么书？	我不喜欢看书，我喜欢看电影!	我不太喜欢。你还是个年轻的知识分子。你喜欢读什么书？	我喜欢读书，不喜欢读专业书!	2
那你是怎么喜欢上歌剧的？	因为喜欢，所以喜欢。	那你是怎么厌恶上歌剧的？	不喜欢就不喜欢呗，为什么要讨厌？	2
我比较喜欢宜家，我感觉宜家的东西比较多一点。	我也喜欢!	我更喜欢哪家店？	我也不知道，我都没去过!	2
我每天晚上都会跑步，你每天会走多长时间？	我一般都是晚上跑，早上起不来。	你通常什么时候跑步？	晚上8点到9点，早上6点到7点。	2
他在加班所以没有出去，你都是一个人去健身房吗？	对啊，我一般都是自己去的	他加班，所以没出去。你一个人去健身房了吗？	没有啊，我都是和朋友一起去的	3
对啊，你呢?你多大了?你的梦想是什么啊？	我今年24岁了，我的梦想就是希望我的家人身体健康!	是的，你呢？你多大了？你的梦想是什么？	我今年25岁了，梦想是做一名医生，在医院工作!	1
我是山东人，家在青岛，离海边就10分钟路程。	我也是山东的，家在烟台。	你知道我的家在哪里吗？	不知道，你告诉我吧。	1
我是一个14岁的男孩儿。	好吧，那我比你大。	你知道我多大了吗？	不知道，我只知道你比我大。	1
你平常喜欢出去吗？	喜欢啊，很喜欢啊!	你通常喜欢出去吗？	我不喜欢，我很少出去。	2
但是我今年都已经40岁了。	40岁的人，应该有一颗年轻的心!	你知道我多大了吗？	不知道，我只知道你很年轻!	1
那你工作多久了啊？	快一年了吧，你呢？	你工作多久了？	我工作两年了，现在在一家外企上班。	3
是啊，你也想做摄影师吗？	对啊!我也想去学摄影!	是啊，你也不想当摄影师吗？	不想啊!我只是喜欢拍照而已!	2
我还喜欢自驾游，我去过很多地方，除了西藏上基本上都去过，不过都是我自己一个人去的。	我也喜欢一个人自驾游!	你知道我唯一没去过的地方是什么吗？	不知道!	3
我现在还没有工作，我18岁的时候就辍学了。	那你现在在做什么？	你知道我什么时候辍学的吗？	我不知道，你知道吗？	3
你多大了，还没有男朋友？	我23了，没男朋友，你有吗？	你多大了？	我25了，你呢？	1
